Epoch,Memory,trainBoxLoss,trainObjLoss,trainClsLoss,trainLoss,count,fixed,precision,recall,map05,map0595,valBoxLoss,valObjLoss,valClsLoss
178,9.14G,0.01187,0.004687,0.008893,0.02545,81,512,0.704,0.7471,0.7437,0.7083,0.01157,0.002833,0.01649
179,9.14G,0.01187,0.004611,0.008728,0.02521,95,512,0.704,0.7477,0.7443,0.7086,0.01155,0.002831,0.01645
180,9.14G,0.01193,0.004619,0.008878,0.02542,85,512,0.6985,0.7454,0.7443,0.7087,0.01154,0.002827,0.01641
181,9.14G,0.01184,0.004629,0.008961,0.02543,99,512,0.6984,0.7454,0.7445,0.7088,0.01151,0.002828,0.01638
182,9.14G,0.01178,0.00461,0.008707,0.0251,120,512,0.6982,0.7457,0.7446,0.7089,0.01149,0.002823,0.01634
183,9.14G,0.01181,0.004641,0.008926,0.02538,124,512,0.6981,0.7457,0.745,0.7092,0.01147,0.002818,0.01629
184,9.14G,0.01178,0.004627,0.008943,0.02535,72,512,0.6979,0.746,0.7453,0.7095,0.01145,0.002812,0.01625
185,9.14G,0.01175,0.004597,0.008764,0.02511,127,512,0.6978,0.7461,0.7452,0.7095,0.01142,0.002809,0.01621
186,9.14G,0.01171,0.004603,0.008588,0.0249,116,512,0.6977,0.7462,0.7455,0.7097,0.0114,0.00281,0.01617
187,9.14G,0.01177,0.004563,0.008789,0.02513,125,512,0.6974,0.7462,0.7462,0.7102,0.01137,0.002806,0.01613
188,9.14G,0.01167,0.004628,0.008786,0.02508,82,512,0.6972,0.7462,0.7468,0.7109,0.01134,0.002799,0.01609
189,9.14G,0.01164,0.004575,0.008785,0.025,118,512,0.6969,0.7465,0.747,0.7111,0.01132,0.002799,0.01605
190,9.14G,0.01167,0.004626,0.008851,0.02514,83,512,0.6965,0.7469,0.747,0.7111,0.01129,0.002798,0.01601
191,9.14G,0.01153,0.004569,0.00861,0.02471,118,512,0.7014,0.7492,0.7487,0.7129,0.01125,0.002795,0.01597
192,9.14G,0.01159,0.004595,0.008799,0.02498,96,512,0.6962,0.7468,0.7474,0.7115,0.01123,0.002796,0.01593
193,9.14G,0.0116,0.004549,0.008709,0.02486,119,512,0.6911,0.7453,0.7468,0.7109,0.01121,0.002795,0.0159
194,9.14G,0.01156,0.004559,0.008647,0.02477,108,512,0.6858,0.7405,0.7445,0.7088,0.01119,0.002793,0.01586
195,9.14G,0.01154,0.004543,0.008765,0.02485,91,512,0.6856,0.7403,0.7451,0.7097,0.01117,0.002791,0.01583
196,9.14G,0.01145,0.004527,0.008507,0.02448,62,512,0.6853,0.7405,0.7454,0.7099,0.01114,0.002783,0.0158
197,9.14G,0.01168,0.004536,0.008677,0.0249,145,512,0.6849,0.7405,0.7458,0.7102,0.01112,0.002781,0.01576
198,9.14G,0.01147,0.004508,0.008551,0.02453,119,512,0.6845,0.7406,0.7458,0.7102,0.01109,0.002783,0.01574
199,9.14G,0.01148,0.004543,0.008765,0.02479,70,512,0.6844,0.7408,0.7463,0.7108,0.01107,0.002782,0.0157
200,9.14G,0.01152,0.004572,0.008645,0.02474,108,512,0.6843,0.7413,0.7466,0.7112,0.01104,0.002778,0.01567
201,9.14G,0.01138,0.00449,0.008437,0.02431,115,512,0.6843,0.7417,0.7467,0.711,0.01102,0.002775,0.01563
202,9.14G,0.01144,0.004503,0.008564,0.02451,110,512,0.6844,0.7419,0.7471,0.7117,0.01099,0.002775,0.01559
203,9.14G,0.0114,0.004518,0.008684,0.0246,117,512,0.6843,0.7427,0.7478,0.7124,0.01096,0.002774,0.01556
204,9.14G,0.01134,0.004509,0.008562,0.02442,128,512,0.6844,0.7431,0.7476,0.7122,0.01095,0.002775,0.01553
